City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
351,ternate,98,ID,1583453490,77,0.8,127.4,82.15,1.01
352,baoqing,0,CN,1583453610,82,46.33,132.21,17.94,0.78
353,bubaque,0,GW,1583453445,73,11.28,-15.83,79.47,14.74
354,dano,0,BF,1583453610,10,11.15,-3.07,79.77,3.94
355,kupang,20,ID,1583453610,94,-10.17,123.58,80.6,2.24
356,ivdel,53,RU,1583453611,91,60.69,60.42,6.57,4.25
357,verkhoyansk,60,RU,1583453611,81,67.54,133.38,-8.27,1.81
358,kimbe,96,PG,1583453404,61,-5.55,150.14,88.68,2.53
359,port hedland,0,AU,1583453493,79,-20.32,118.57,86.0,8.05
360,hirara,75,JP,1583453352,72,24.8,125.28,66.2,9.17
361,forest grove,75,US,1583453612,62,45.52,-123.11,60.01,8.79
362,taoudenni,0,ML,1583453412,10,22.68,-3.98,73.69,6.26
363,bara,7,NG,1583453612,11,10.37,10.73,76.28,6.73
364,cajamarca,75,PE,1583453436,63,-7.16,-78.5,66.2,11.41
365,borujerd,0,IR,1583453613,50,33.9,48.75,34.68,1.39
366,portland,75,US,1583453306,47,45.52,-122.68,59.0,6.93
367,kismayo,100,SO,1583453614,84,-0.36,42.55,81.95,11.39
368,bukama,100,CD,1583453614,96,-9.2,25.85,70.18,2.1
369,hauterive,90,FR,1583453614,75,46.09,3.45,44.6,10.29
370,chippewa falls,90,US,1583453614,74,44.94,-91.39,33.8,24.16
371,split,97,HR,1583453615,62,43.51,16.44,53.6,14.99
372,emerald,90,AU,1583453616,94,-23.53,148.17,78.01,1.12
373,esso,6,RU,1583453616,83,55.93,158.7,10.27,2.39
374,vao,1,NC,1583453504,81,-22.67,167.48,80.78,16.67
375,raipur,0,IN,1583453616,70,21.23,81.63,68.16,2.71
376,yatou,31,CN,1583453617,70,37.15,122.38,40.96,12.53
377,tecoanapa,0,MX,1583453380,57,16.52,-98.75,83.84,6.46
378,baiao,2,BR,1583453617,81,-2.79,-49.67,75.52,3.06
379,margate,75,GB,1583453462,93,51.38,1.39,43.0,10.29
380,omboue,85,GA,1583453617,97,-1.57,9.26,77.63,2.59
381,paso de carrasco,36,UY,1583453358,78,-34.86,-56.05,75.0,14.99
382,linjiang,33,CN,1583453618,82,41.81,126.91,16.84,5.01
383,faya,2,SA,1583453618,76,18.39,42.45,57.2,5.82
